function	medium_1	constant
function	medium_2	constant
function	medium_3	constant
function	medium_4	constant
function	medium_5	constant
function	linearModel	linear
Tpro	medium_5	CONSTANT	33444.7247
Tpro	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	33444.7247	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tser	medium_1	CONSTANT	1015577.7276
Tser	medium_2	CONSTANT	1015577.7276
Tser	medium_3	CONSTANT	1015577.7276
Tser	medium_4	CONSTANT	1015577.7276
Tser	medium_5	CONSTANT	1015577.7276
Tser	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1015577.7276	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tthr	medium_1	CONSTANT	286708.6404
Tthr	medium_2	CONSTANT	286708.6404
Tthr	medium_3	CONSTANT	286708.6404
Tthr	medium_4	CONSTANT	286708.6404
Tthr	medium_5	CONSTANT	286708.6404
Tthr	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	286708.6404	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Ttrp	medium_1	CONSTANT	121604.9073
Ttrp	medium_2	CONSTANT	121604.9073
Ttrp	medium_3	CONSTANT	121604.9073
Ttrp	medium_4	CONSTANT	121604.9073
Ttrp	medium_5	CONSTANT	121604.9073
Ttrp	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	121604.9073	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Ttyr	medium_1	CONSTANT	121604.9073
Ttyr	medium_2	CONSTANT	121604.9073
Ttyr	medium_3	CONSTANT	121604.9073
Ttyr	medium_4	CONSTANT	121604.9073
Ttyr	medium_5	CONSTANT	121604.9073
Ttyr	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	121604.9073	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tval	medium_1	CONSTANT	424478.873
Tval	medium_2	CONSTANT	424478.873
Tval	medium_3	CONSTANT	424478.873
Tval	medium_4	CONSTANT	424478.873
Tval	medium_5	CONSTANT	424478.873
Tval	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	424478.873	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tade	medium_1	CONSTANT	372530.9854
Tade	medium_2	CONSTANT	372530.9854
Tade	medium_3	CONSTANT	372530.9854
Tade	medium_4	CONSTANT	372530.9854
Tade	medium_5	CONSTANT	372530.9854
Tade	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TpbuG	medium_1	CONSTANT	372530.9854
TpbuG	medium_2	CONSTANT	372530.9854
TpbuG	medium_3	CONSTANT	372530.9854
TpbuG	medium_4	CONSTANT	372530.9854
TpbuG	medium_5	CONSTANT	372530.9854
TpbuG	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TpbuO	medium_1	CONSTANT	372530.9854
TpbuO	medium_2	CONSTANT	372530.9854
TpbuO	medium_3	CONSTANT	372530.9854
TpbuO	medium_4	CONSTANT	372530.9854
TpbuO	medium_5	CONSTANT	372530.9854
TpbuO	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TpbuX	medium_1	CONSTANT	372530.9854
TpbuX	medium_2	CONSTANT	372530.9854
TpbuX	medium_3	CONSTANT	372530.9854
TpbuX	medium_4	CONSTANT	372530.9854
TpbuX	medium_5	CONSTANT	372530.9854
TpbuX	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TpyrP	medium_1	CONSTANT	372530.9854
TpyrP	medium_2	CONSTANT	372530.9854
TpyrP	medium_3	CONSTANT	372530.9854
